EdgeNo,F-Node,T-Node,r,x,b,Switch,SwitchState,maxAmp,type
252,20,94,0,0,0,Y,1,0,断路器
3003,21,68,0,0,0,Y,1,0,刀闸
3009,22,109,0,0,0,Y,1,0,刀闸
3026,23,110,0,0,0,Y,1,0,刀闸
3032,24,79,0,0,0,Y,1,0,刀闸
3037,25,111,0,0,0,Y,1,0,刀闸
3040,26,112,0,0,0,Y,1,0,刀闸
3045,27,61,0,0,0,Y,1,0,刀闸
3049,28,113,0,0,0,Y,1,0,刀闸
3174,29,114,0,0,0,Y,1,0,断路器
3175,30,115,0,0,0,Y,1,0,断路器
3176,31,116,0,0,0,Y,1,0,断路器
3177,22,97,0,0,0,Y,1,0,断路器
3178,32,106,0,0,0,Y,1,0,断路器
3179,33,117,0,0,0,Y,1,0,断路器
3180,34,118,0,0,0,Y,1,0,断路器
3181,28,105,0,0,0,Y,1,0,断路器
3183,35,100,0,0,0,Y,1,0,断路器
3184,36,119,0,0,0,Y,1,0,断路器
3185,36,120,0,0,0,Y,1,0,断路器
3186,33,121,0,0,0,Y,1,0,断路器
3187,31,122,0,0,0,Y,1,0,断路器
3188,34,123,0,0,0,Y,1,0,断路器
3189,36,124,0,0,0,Y,1,0,断路器
3190,29,104,0,0,0,Y,1,0,断路器
3191,37,125,0,0,0,Y,1,0,断路器
3192,38,21,0,0,0,Y,1,0,断路器
3193,32,23,0,0,0,Y,1,0,断路器
3194,28,83,0,0,0,Y,1,0,断路器
3195,39,102,0,0,0,Y,1,0,断路器
3196,22,85,0,0,0,Y,1,0,断路器
3197,33,126,0,0,0,Y,1,0,断路器
3198,37,76,0,0,0,Y,1,0,断路器
3199,37,127,0,0,0,Y,1,0,断路器
3200,40,128,0,0,0,Y,1,0,断路器
3201,41,129,0,0,0,Y,1,0,断路器
3202,42,130,0,0,0,Y,1,0,断路器
3204,43,70,0,0,0,Y,1,0,断路器
3206,35,131,0,0,0,Y,1,0,断路器
3207,36,132,0,0,0,Y,1,0,断路器
3208,44,55,0,0,0,Y,1,0,断路器
3209,45,133,0,0,0,Y,1,0,断路器
3210,29,71,0,0,0,Y,1,0,断路器
3211,46,134,0,0,0,Y,1,0,断路器
3212,38,93,0,0,0,Y,1,0,断路器
3213,35,25,0,0,0,Y,1,0,断路器
3214,47,78,0,0,0,Y,1,0,断路器
3215,22,65,0,0,0,Y,1,0,断路器
3216,42,135,0,0,0,Y,1,0,断路器
3217,47,136,0,0,0,Y,1,0,断路器
3218,48,137,0,0,0,Y,1,0,断路器
3219,49,103,0,0,0,Y,1,0,断路器
3220,30,138,0,0,0,Y,1,0,断路器
3221,50,139,0,0,0,Y,1,0,断路器
3222,42,140,0,0,0,Y,1,0,断路器
3440,51,141,0,0,0,Y,1,0,刀闸
