from_nd_id,to_nd_id,Y_real,Y_imag
1861,1866,0.0000000000,1050.0000000000
1861,1874,0.0000000000,12100000000.0000000000
1862,1864,0.0000000000,12100000000.0000000000
1862,1883,0.0000000000,12100000000.0000000000
1863,1879,0.0000000000,100000000.0000000000
1864,1862,0.0000000000,12100000000.0000000000
1864,1885,0.0000000000,12100000000.0000000000
1865,1871,0.0000000000,100000000.0000000000
1865,2344,-792.0909547054,1781.9194497116
1866,1861,0.0000000000,1050.0000000000
1866,1894,0.0000000000,100000000.0000000000
1866,1897,0.0000000000,100000000.0000000000
1867,1881,0.0000000000,12100000000.0000000000
1867,1889,0.0000000000,12100000000.0000000000
1867,1906,0.0000000000,12100000000.0000000000
1867,1909,0.0000000000,12100000000.0000000000
1867,1914,0.0000000000,12100000000.0000000000
1867,1918,0.0000000000,12100000000.0000000000
1868,1879,0.0000000000,100000000.0000000000
1869,1879,0.0000000000,100000000.0000000000
1870,1880,0.0000000000,100000000.0000000000
1870,1894,0.0000000000,100000000.0000000000
1870,1897,0.0000000000,100000000.0000000000
1870,1901,0.0000000000,100000000.0000000000
1870,1908,0.0000000000,100000000.0000000000
1870,1924,0.0000000000,100000000.0000000000
1870,1926,0.0000000000,100000000.0000000000
1870,1930,0.0000000000,100000000.0000000000
1871,1865,0.0000000000,100000000.0000000000
1871,1877,0.0000000000,100000000.0000000000
1871,1896,0.0000000000,100000000.0000000000
1871,1899,0.0000000000,100000000.0000000000
1871,1915,0.0000000000,100000000.0000000000
1871,1916,0.0000000000,100000000.0000000000
1871,1920,0.0000000000,100000000.0000000000
1871,1923,0.0000000000,100000000.0000000000
1871,1929,0.0000000000,100000000.0000000000
1872,1879,0.0000000000,100000000.0000000000
1873,1925,0.0000000000,100000000.0000000000
1874,1861,0.0000000000,12100000000.0000000000
1874,1918,0.0000000000,12100000000.0000000000
1875,1890,0.0000000000,100000000.0000000000
1876,1879,0.0000000000,100000000.0000000000
1877,1871,0.0000000000,100000000.0000000000
1877,1924,0.0000000000,100000000.0000000000
1878,1879,0.0000000000,100000000.0000000000
1879,1863,0.0000000000,100000000.0000000000
1879,1868,0.0000000000,100000000.0000000000
1879,1869,0.0000000000,100000000.0000000000
1879,1872,0.0000000000,100000000.0000000000
1879,1876,0.0000000000,100000000.0000000000
1879,1878,0.0000000000,100000000.0000000000
1879,1884,0.0000000000,100000000.0000000000
1879,1888,0.0000000000,100000000.0000000000
1879,1890,0.0000000000,100000000.0000000000
1879,1892,0.0000000000,100000000.0000000000
1879,1895,0.0000000000,100000000.0000000000
1879,1903,0.0000000000,100000000.0000000000
1879,1904,0.0000000000,100000000.0000000000
1879,1905,0.0000000000,100000000.0000000000
1879,1911,0.0000000000,100000000.0000000000
1879,1912,0.0000000000,100000000.0000000000
1879,1917,0.0000000000,100000000.0000000000
1879,1919,0.0000000000,100000000.0000000000
1879,1921,0.0000000000,100000000.0000000000
1879,1922,0.0000000000,100000000.0000000000
1879,1925,0.0000000000,100000000.0000000000
1879,1927,0.0000000000,100000000.0000000000
1880,1870,0.0000000000,100000000.0000000000
1881,1867,0.0000000000,12100000000.0000000000
1881,1893,0.0000000000,12100000000.0000000000
1882,1902,0.0000000000,1050.0000000000
1882,1910,0.0000000000,12100000000.0000000000
1883,1862,0.0000000000,12100000000.0000000000
1883,1893,0.0000000000,12100000000.0000000000
